TimeStep,NewAdopters,TotalAdopted,TotalPopulation,AdoptionPercentage,SimulationTime
1,101,151,10000,1.5,2025-09-26 11:50:52.955
2,103,254,10000,2.5,2025-09-26 11:50:53.059
3,105,359,10000,3.6,2025-09-26 11:50:53.154
4,107,466,10000,4.7,2025-09-26 11:50:53.255
5,109,575,10000,5.8,2025-09-26 11:50:53.359
6,111,686,10000,6.9,2025-09-26 11:50:53.456
7,112,798,10000,8.0,2025-09-26 11:50:53.560
8,114,912,10000,9.1,2025-09-26 11:50:53.657
9,116,1028,10000,10.3,2025-09-26 11:50:53.761
10,117,1145,10000,11.5,2025-09-26 11:50:53.865
11,119,1264,10000,12.6,2025-09-26 11:50:53.967
12,120,1384,10000,13.8,2025-09-26 11:50:54.070
13,122,1506,10000,15.1,2025-09-26 11:50:54.166
14,123,1629,10000,16.3,2025-09-26 11:50:54.270
15,125,1754,10000,17.5,2025-09-26 11:50:54.370
16,126,1880,10000,18.8,2025-09-26 11:50:54.470
17,127,2007,10000,20.1,2025-09-26 11:50:54.573
18,128,2135,10000,21.4,2025-09-26 11:50:54.673
19,129,2264,10000,22.6,2025-09-26 11:50:54.774
20,130,2394,10000,23.9,2025-09-26 11:50:54.872
21,131,2525,10000,25.3,2025-09-26 11:50:54.968
22,131,2656,10000,26.6,2025-09-26 11:50:55.069
23,132,2788,10000,27.9,2025-09-26 11:50:55.170
24,132,2920,10000,29.2,2025-09-26 11:50:55.275
25,133,3053,10000,30.5,2025-09-26 11:50:55.371
26,133,3186,10000,31.9,2025-09-26 11:50:55.472
27,133,3319,10000,33.2,2025-09-26 11:50:55.572
28,133,3452,10000,34.5,2025-09-26 11:50:55.672
29,133,3585,10000,35.9,2025-09-26 11:50:55.772
30,133,3718,10000,37.2,2025-09-26 11:50:55.879
31,133,3851,10000,38.5,2025-09-26 11:50:55.972
32,133,3984,10000,39.8,2025-09-26 11:50:56.073
33,132,4116,10000,41.2,2025-09-26 11:50:56.174
34,131,4247,10000,42.5,2025-09-26 11:50:56.274
35,131,4378,10000,43.8,2025-09-26 11:50:56.378
36,130,4508,10000,45.1,2025-09-26 11:50:56.482
37,129,4637,10000,46.4,2025-09-26 11:50:56.581
38,128,4765,10000,47.7,2025-09-26 11:50:56.679
